STATE,state,state_po,year,special,stage,share_dem,share_rep,pres_aprov,pres_disapp,pres_unsure,pres_party,party_pres_dem,inflation_rate,Annual Change,right_abortion,abortion_issue,poll_dem,poll_rep,poll_favor_dem,,
Georgia,GEORGIA,GA,2021,TRUE,runoff,51.0439,48.9561,42,55,3,democrat,1,4.6979,3.46,No,1,50.6639428,49.3360572,1,,
Wisconsin,WISCONSIN,WI,2018,FALSE,gen,55.4186,44.5814,39,55,6,republican,0,2.4426,0.31,No,1,56.17977528,43.82022472,1,,
Georgia,GEORGIA,GA,2021,FALSE,runoff,50.6166,49.3834,42,55,3,democrat,1,4.6979,3.46,No,1,51.37755102,48.62244898,1,,
Pennsylvania,PENNSYLVANIA,PA,2018,FALSE,gen,56.5428,43.4572,39,55,6,republican,0,2.4426,0.31,No,1,53.68421053,46.31578947,1,,
Illinois,ILLINOIS,IL,2020,FALSE,gen,58.5649,41.4351,43,55,2,republican,0,1.2336,-0.58,Yes,0,64.85461441,35.14538559,1,,
Colorado,COLORADO,CO,2016,FALSE,gen,53.0045,46.9955,56,42,2,democrat,1,1.2616,1.14,Yes,0,53.60824742,46.39175258,1,,
Ohio,OHIO,OH,2018,FALSE,gen,53.4237,46.5763,39,55,6,republican,0,2.4426,0.31,No,1,55.20833333,44.79166667,1,,
Washington,WASHINGTON,WA,2018,FALSE,gen,58.4338,41.5662,39,55,6,republican,0,2.4426,0.31,Yes,0,57.60869565,42.39130435,1,,
Colorado,COLORADO,CO,2020,FALSE,gen,54.7716,45.2284,43,55,2,republican,0,1.2336,-0.58,Yes,0,55.74829932,44.25170068,1,,
Oregon,OREGON,OR,2020,FALSE,gen,59.1374,40.8626,43,55,2,republican,0,1.2336,-0.58,Yes,0,61.11111111,38.88888889,1,,
Illinois,ILLINOIS,IL,2016,FALSE,gen,57.9676,42.0324,56,42,2,democrat,1,1.2616,1.14,Yes,0,58.94736842,41.05263158,1,,
Connecticut,CONNECTICUT,CT,2018,FALSE,gen,59.0733,40.9267,39,55,6,republican,0,2.4426,0.31,Yes,0,62.3655914,37.6344086,1,,
Washington,WASHINGTON,WA,2016,FALSE,gen,59.0130,40.9870,56,42,2,democrat,1,1.2616,1.14,Yes,0,61.45833333,38.54166667,1,,
Connecticut,CONNECTICUT,CT,2016,FALSE,gen,62.4932,37.5068,56,42,2,democrat,1,1.2616,1.14,Yes,0,64.94845361,35.05154639,1,,
Oregon,OREGON,OR,2016,FALSE,gen,62.9258,37.0742,56,42,2,democrat,1,1.2616,1.14,Yes,0,66.31578947,33.68421053,1,,
Maryland,MARYLAND,MD,2016,FALSE,gen,63.0553,36.9447,56,42,2,democrat,1,1.2616,1.14,Yes,0,65.97938144,34.02061856,1,,
Hawaii,HAWAII,HI,2016,FALSE,gen,76.7936,23.2064,56,42,2,democrat,1,1.2616,1.14,Yes,0,72.91666667,27.08333333,1,,
New York,NEW YORK,NY,2016,FALSE,gen,73.5112,26.4888,56,42,2,democrat,1,1.2616,1.14,Yes,0,73.95833333,26.04166667,1,,
Vermont,VERMONT,VT,2016,FALSE,gen,64.9733,35.0267,56,42,2,democrat,1,1.2616,1.14,Yes,0,75.75757576,24.24242424,1,,
Arizona,ARIZONA,AZ,2020,TRUE,gen,51.1734,48.8266,43,55,2,republican,0,1.2336,-0.58,No,1,53.06122449,46.93877551,1,,
Arkansas,ARKANSAS,AR,2020,FALSE,gen,0.0000,,43,55,2,republican,0,1.2336,-0.58,No,1,,,,,
New Hampshire,NEW HAMPSHIRE,NH,2020,FALSE,gen,58.0147,41.9853,43,55,2,republican,0,1.2336,-0.58,Yes,0,58.7628866,41.2371134,1,,
North Carolina,NORTH CAROLINA,NC,2020,FALSE,gen,49.0867,50.9133,43,55,2,republican,0,1.2336,-0.58,No,1,51.54639175,48.45360825,1,,
South Carolina,SOUTH CAROLINA,SC,2020,FALSE,gen,44.7921,55.2079,43,55,2,republican,0,1.2336,-0.58,No,1,48.42105263,51.57894737,0,,
South Dakota,SOUTH DAKOTA,SD,2020,FALSE,gen,34.2648,65.7352,43,55,2,republican,0,1.2336,-0.58,No,1,41.05263158,58.94736842,0,,
